m,n,k,int4,cycles,first_output,issue_cycles,wait_bank,drain,row_prepare,capture,other,output_stall,a_packets,b_packets,outputs,case,traffic,assumed_mhz,useful_ops,latency_us,gops,utilization,interface_bytes
16,16,16,0,426,96,16,18,256,80,17,55,0,16,16,256,tile,ideal,1000,8192,0.426,19.230046948356808,0.03755868544600939,1536
16,16,16,0,614,134,16,51,411,80,17,55,155,16,16,256,tile,stalled,1000,8192,0.614,13.342019543973942,0.026058631921824105,1536
16,16,16,1,410,80,8,10,256,80,17,47,0,8,8,256,tile,ideal,1000,8192,0.41,19.98048780487805,0.01951219512195122,1280
16,16,16,1,583,103,8,30,409,80,17,47,153,8,8,256,tile,stalled,1000,8192,0.583,14.051457975986278,0.0137221269296741,1280
16,16,64,0,594,264,64,21,256,80,17,220,0,64,64,256,long_k,ideal,1000,32768,0.594,55.16498316498316,0.10774410774410774,3072
16,16,64,0,800,297,64,54,429,80,17,220,173,64,64,256,long_k,stalled,1000,32768,0.8,40.96,0.08,3072
16,16,64,1,554,224,32,13,256,80,17,188,0,32,32,256,long_k,ideal,1000,32768,0.554,59.148014440433215,0.05776173285198556,2048
16,16,64,1,738,244,32,33,420,80,17,188,164,32,32,256,long_k,stalled,1000,32768,0.738,44.40108401084011,0.04336043360433604,2048
64,64,64,0,9519,264,1024,336,4096,1280,272,3535,0,1024,1024,4096,square,ideal,1000,524288,9.519,55.07805441748083,0.10757432503414224,49152
64,64,64,0,12456,297,1024,784,6585,1280,272,3535,2489,1024,1024,4096,square,stalled,1000,524288,12.456,42.09120102761721,0.08220937700706486,49152
64,64,64,1,8879,224,512,208,4096,1280,272,3023,0,512,512,4096,square,ideal,1000,524288,8.879,59.04809100123888,0.057664151368397344,32768
64,64,64,1,11836,244,512,420,6841,1280,272,3023,2745,512,512,4096,square,stalled,1000,524288,11.836,44.29604596147347,0.04325785738425143,32768
17,17,33,0,1180,193,132,80,289,170,38,603,0,132,132,289,tail,ideal,1000,19074,1.18,16.164406779661018,0.031571106991525426,5380
17,17,33,0,1498,227,132,197,490,170,38,603,201,132,132,289,tail,stalled,1000,19074,1.498,12.732977303070761,0.02486909629506008,5380
17,17,33,1,1084,169,68,48,289,170,38,539,0,68,68,289,tail,ideal,1000,19074,1.084,17.595940959409592,0.01718353609317343,3332
17,17,33,1,1343,196,68,102,494,170,38,539,205,68,68,289,tail,stalled,1000,19074,1.343,14.20253164556962,0.013869659810126582,3332
1,64,64,0,1059,249,256,84,64,20,8,883,0,256,256,64,gemv,ideal,1000,8192,1.059,7.735599622285175,0.015108593012275733,8448
1,64,64,0,1203,289,256,193,99,20,8,883,35,256,256,64,gemv,stalled,1000,8192,1.203,6.809642560266002,0.013300083125519535,8448
1,64,64,1,899,209,128,52,64,20,8,755,0,128,128,64,gemv,ideal,1000,8192,0.899,9.112347052280311,0.008898776418242492,4352
1,64,64,1,986,229,128,109,94,20,8,755,30,128,128,64,gemv,stalled,1000,8192,0.986,8.308316430020284,0.008113590263691683,4352
64,1,64,0,1419,264,256,84,64,320,68,883,0,256,256,64,skinny,ideal,1000,8192,1.419,5.77307963354475,0.01127554615926709,8448
64,1,64,0,1640,297,256,193,176,320,68,883,112,256,256,64,skinny,stalled,1000,8192,1.64,4.995121951219512,0.00975609756097561,8448
64,1,64,1,1259,224,128,52,64,320,68,755,0,128,128,64,skinny,ideal,1000,8192,1.259,6.506751389992057,0.006354249404289118,4352
64,1,64,1,1442,244,128,109,190,320,68,755,126,128,128,64,skinny,stalled,1000,8192,1.442,5.680998613037448,0.005547850208044383,4352
16,16,36,0,526,196,36,20,256,80,17,153,0,36,36,256,conv3x3_shape,ideal,1000,18432,0.526,35.041825095057035,0.06844106463878327,2176
16,16,36,0,707,229,36,53,404,80,17,153,148,36,36,256,conv3x3_shape,stalled,1000,18432,0.707,26.070721357850072,0.05091937765205092,2176
16,16,36,1,500,170,18,12,256,80,17,135,0,18,18,256,conv3x3_shape,ideal,1000,18432,0.5,36.864,0.036,1600
16,16,36,1,676,196,18,32,412,80,17,135,156,18,18,256,conv3x3_shape,stalled,1000,18432,0.676,27.266272189349113,0.026627218934911243,1600
32,32,64,0,2379,264,256,84,1024,320,68,883,0,256,256,1024,attention_shape,ideal,1000,131072,2.379,55.09541824295923,0.10760823875577974,12288
32,32,64,0,3125,297,256,193,1661,320,68,883,637,256,256,1024,attention_shape,stalled,1000,131072,3.125,41.94304,0.08192,12288
32,32,64,1,2219,224,128,52,1024,320,68,755,0,128,128,1024,attention_shape,ideal,1000,131072,2.219,59.06804867057233,0.05768364127985579,8192
32,32,64,1,2939,244,128,109,1687,320,68,755,663,128,128,1024,attention_shape,stalled,1000,131072,2.939,44.59748213678122,0.04355222864920041,8192
