m,n,k,int4,cycles,first_output,issue_cycles,wait_bank,drain,row_prepare,capture,other,output_stall,a_packets,b_packets,outputs,case,traffic,assumed_mhz,useful_ops,latency_us,gops,utilization,interface_bytes
16,16,16,0,366,96,16,18,256,20,17,55,0,16,16,256,tile,ideal,1000,8192,0.366,22.382513661202186,0.04371584699453552,1536
16,16,16,0,571,134,16,51,428,20,17,55,172,16,16,256,tile,stalled,1000,8192,0.571,14.34676007005254,0.028021015761821366,1536
16,16,16,1,350,80,8,10,256,20,17,47,0,8,8,256,tile,ideal,1000,8192,0.35,23.405714285714286,0.022857142857142857,1280
16,16,16,1,540,103,8,30,426,20,17,47,170,8,8,256,tile,stalled,1000,8192,0.54,15.170370370370371,0.014814814814814815,1280
16,16,64,0,429,159,64,24,256,20,17,112,0,64,64,256,long_k,ideal,1000,32768,0.429,76.38228438228438,0.14918414918414918,3072
16,16,64,0,705,269,64,134,422,20,17,112,166,64,64,256,long_k,stalled,1000,32768,0.705,46.47943262411348,0.09078014184397164,3072
16,16,64,1,389,119,32,16,256,20,17,80,0,32,32,256,long_k,ideal,1000,32768,0.389,84.23650385604113,0.08226221079691516,2048
16,16,64,1,631,182,32,79,435,20,17,80,179,32,32,256,long_k,stalled,1000,32768,0.631,51.93026941362916,0.05071315372424723,2048
64,64,64,0,6879,159,1024,384,4096,320,272,1807,0,1024,1024,4096,square,ideal,1000,524288,6.879,76.21572903038232,0.14885884576246547,49152
64,64,64,0,11266,269,1024,2062,6805,320,272,1807,2709,1024,1024,4096,square,stalled,1000,524288,11.266,46.53719154979584,0.090892952245695,49152
64,64,64,1,6239,119,512,256,4096,320,272,1295,0,512,512,4096,square,ideal,1000,524288,6.239,84.03397980445584,0.0820644334027889,32768
64,64,64,1,9821,182,512,1088,6846,320,272,1295,2750,512,512,4096,square,stalled,1000,524288,9.821,53.38438040932695,0.05213318399348335,32768
17,17,33,0,836,122,132,84,289,50,38,375,0,132,132,289,tail,ideal,1000,19074,0.836,22.81578947368421,0.04456208881578947,5380
17,17,33,0,1281,183,132,299,535,50,38,359,246,132,132,289,tail,stalled,1000,19074,1.281,14.889929742388759,0.029081894028103045,5380
17,17,33,1,740,98,68,52,289,50,38,311,0,68,68,289,tail,ideal,1000,19074,0.74,25.775675675675675,0.025171558277027026,3332
17,17,33,1,1064,134,68,161,520,50,38,295,231,68,68,289,tail,stalled,1000,19074,1.064,17.92669172932331,0.017506534891917294,3332
1,64,64,0,639,144,256,96,64,20,8,451,0,256,256,64,gemv,ideal,1000,8192,0.639,12.820031298904539,0.025039123630672927,8448
1,64,64,0,1081,258,256,510,92,20,8,451,28,256,256,64,gemv,stalled,1000,8192,1.081,7.578168362627197,0.014801110083256245,8448
1,64,64,1,479,104,128,64,64,20,8,323,0,128,128,64,gemv,ideal,1000,8192,0.479,17.102296450939455,0.016701461377870562,4352
1,64,64,1,731,167,128,283,97,20,8,323,33,128,128,64,gemv,stalled,1000,8192,0.731,11.20656634746922,0.01094391244870041,4352
64,1,64,0,999,159,256,96,64,80,68,691,0,256,256,64,skinny,ideal,1000,8192,0.999,8.2002002002002,0.016016016016016016,8448
64,1,64,0,1512,269,256,510,227,80,68,627,163,256,256,64,skinny,stalled,1000,8192,1.512,5.417989417989418,0.010582010582010581,8448
64,1,64,1,839,119,128,64,64,80,68,563,0,128,128,64,skinny,ideal,1000,8192,0.839,9.764004767580452,0.009535160905840286,4352
64,1,64,1,1157,182,128,283,222,80,68,504,158,128,128,64,skinny,stalled,1000,8192,1.157,7.08038029386344,0.006914433880726016,4352
16,16,36,0,395,125,36,21,256,20,17,81,0,36,36,256,conv3x3_shape,ideal,1000,18432,0.395,46.663291139240506,0.09113924050632911,2176
